,count,unique,top,freq,mean,std,min,25%,50%,75%,max
hotel,79330,1,City Hotel,79330,,,,,,,
is_canceled,79330.0,,,,0.41726963317786464,0.4931112973361522,0.0,0.0,0.0,1.0,1.0
lead_time,79330.0,,,,109.73572419009201,110.94852576365824,0.0,23.0,74.0,163.0,629.0
arrival_date_year,79330.0,,,,2016.1742846338082,0.6991813251901786,2015.0,2016.0,2016.0,2017.0,2017.0
arrival_date_month,79330,12,August,8983,,,,,,,
arrival_date_week_number,79330.0,,,,27.177448632295473,13.398522891780603,1.0,17.0,27.0,38.0,53.0
arrival_date_day_of_month,79330.0,,,,15.786625488465901,8.728450545682662,1.0,8.0,16.0,23.0,31.0
stays_in_weekend_nights,79330.0,,,,0.7951846716248582,0.8850263827567262,0.0,0.0,1.0,2.0,16.0
stays_in_week_nights,79330.0,,,,2.1829572671120636,1.4564161862484248,0.0,1.0,2.0,3.0,41.0
adults,79330.0,,,,1.8509769318038574,0.5092923075822544,0.0,2.0,2.0,2.0,4.0
children,79326.0,,,,0.09136979048483473,0.3721768699789348,0.0,0.0,0.0,0.0,3.0
babies,79330.0,,,,0.0049413840917685616,0.0843233414619881,0.0,0.0,0.0,0.0,10.0
meal,79330,4,BB,62305,,,,,,,
country,79306,166,PRT,30960,,,,,,,
market_segment,79330,8,Online TA,38748,,,,,,,
distribution_channel,79330,5,TA/TO,68945,,,,,,,
is_repeated_guest,79330.0,,,,0.025614521618555403,0.15798332987976724,0.0,0.0,0.0,0.0,1.0
previous_cancellations,79330.0,,,,0.07974284633808143,0.41547221430867176,0.0,0.0,0.0,0.0,21.0
previous_bookings_not_canceled,79330.0,,,,0.13237110802974916,1.693410600956478,0.0,0.0,0.0,0.0,72.0
reserved_room_type,79330,8,A,62595,,,,,,,
assigned_room_type,79330,9,A,57007,,,,,,,
booking_changes,79330.0,,,,0.18736921719399974,0.6086203136403295,0.0,0.0,0.0,0.0,21.0
deposit_type,79330,3,No Deposit,66442,,,,,,,
agent,71199.0,,,,28.144721133723788,56.432181129853944,1.0,9.0,9.0,17.0,509.0
company,3689.0,,,,145.27161832474926,119.77413423473679,8.0,40.0,91.0,219.0,497.0
days_in_waiting_list,79330.0,,,,3.2267742342115215,20.87088999616488,0.0,0.0,0.0,0.0,391.0
customer_type,79330,4,Transient,59404,,,,,,,
adr,79330.0,,,,105.30446539770578,43.602953837094724,0.0,79.2,99.9,126.0,5400.0
required_car_parking_spaces,79330.0,,,,0.024366570023950585,0.15491947299616668,0.0,0.0,0.0,0.0,3.0
total_of_special_requests,79330.0,,,,0.546917937728476,0.7807762224113713,0.0,0.0,0.0,1.0,5.0
reservation_status,79330,3,Check-Out,46228,,,,,,,
reservation_status_date,79330,864,2015-10-21,1416,,,,,,,
