,is_canceled,lead_time,adr,stays_in_week_nights,stays_in_weekend_nights,adults,children,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,required_car_parking_spaces,total_of_special_requests
is_canceled,1.0,0.3092419476035053,-0.01196537164976737,0.048703615603150126,-0.007342560309528747,0.05305363706180561,-0.027075066536490264,-0.06584015477175138,0.1666426792854853,-0.053133988329686827,-0.14949983377606582,0.060964736750932016,-0.13309621064946936,-0.2938888342068426
lead_time,0.3092419476035053,1.0,-0.13724039958088885,0.05836116473660091,-0.023912945439092136,0.11579215443378393,-0.05356673542857933,-0.10790013545532011,0.12251058217094545,-0.06547186978983308,-0.031051542054774443,0.187109822992852,-0.0777272350266988,-0.1324496901525881
adr,-0.01196537164976737,-0.13724039958088885,1.0,0.05703554606360888,0.03702020682850533,0.26289455762617725,0.31196077345526463,-0.15271643760175085,-0.12924741756335972,-0.07527950082489167,0.023669615567139157,-0.06663914852573317,0.059894802837297804,0.174967582299379
stays_in_week_nights,0.048703615603150126,0.05836116473660091,0.05703554606360888,1.0,0.2196005197001348,0.08825251826729884,0.03711760237161301,-0.0941648489686907,-0.05058928695281759,-0.040931439467483,0.07988789044189917,0.015854089086778055,-0.0383633022079982,0.06418550865845778
stays_in_weekend_nights,-0.007342560309528747,-0.023912945439092136,0.03702020682850533,0.2196005197001348,1.0,0.082129712873061,0.03752528162776943,-0.08049374632377834,-0.03861345340017019,-0.027497649202190767,0.045573770287274794,-0.05619455140038596,-0.024372628288838148,0.06876200609328752
adults,0.05305363706180561,0.11579215443378393,0.26289455762617725,0.08825251826729884,0.082129712873061,1.0,-0.005835120493815454,-0.16735402670901295,-0.038084660166634705,-0.10911256593937146,-0.08755532757489931,-0.007731182270830937,0.011193731539665705,0.15564174234586894
children,-0.027075066536490264,-0.05356673542857933,0.31196077345526463,0.03711760237161301,0.03752528162776943,-0.005835120493815454,1.0,-0.02887142611007731,-0.04377907457912681,-0.017290971884310745,0.04690829441937012,-0.036443339644509354,0.05496147313311448,0.11271640441119635
is_repeated_guest,-0.06584015477175138,-0.10790013545532011,-0.15271643760175085,-0.0941648489686907,-0.08049374632377834,-0.16735402670901295,-0.02887142611007731,1.0,0.2682869397279878,0.4519648337299842,0.014324991307183612,-0.023759829035767635,0.09296018607444108,0.01805407182125683
previous_cancellations,0.1666426792854853,0.12251058217094545,-0.12924741756335972,-0.05058928695281759,-0.03861345340017019,-0.038084660166634705,-0.04377907457912681,0.2682869397279878,1.0,0.3921411936879588,-0.04024512587678636,0.020697436190622434,-0.0033574138149575147,-0.0765070913749777
previous_bookings_not_canceled,-0.053133988329686827,-0.06547186978983308,-0.07527950082489167,-0.040931439467483,-0.027497649202190767,-0.10911256593937146,-0.017290971884310745,0.4519648337299842,0.3921411936879588,1.0,0.01698185473209552,-0.009344128887753716,0.06828613280156448,0.04602881170393623
booking_changes,-0.14949983377606582,-0.031051542054774443,0.023669615567139157,0.07988789044189917,0.045573770287274794,-0.08755532757489931,0.04690829441937012,0.014324991307183612,-0.04024512587678636,0.01698185473209552,1.0,-0.011920314002891286,0.04195557562327745,0.06267399255405982
days_in_waiting_list,0.060964736750932016,0.187109822992852,-0.06663914852573317,0.015854089086778055,-0.05619455140038596,-0.007731182270830937,-0.036443339644509354,-0.023759829035767635,0.020697436190622434,-0.009344128887753716,-0.011920314002891286,1.0,-0.024278655684972755,-0.09330050256701701
required_car_parking_spaces,-0.13309621064946936,-0.0777272350266988,0.059894802837297804,-0.0383633022079982,-0.024372628288838148,0.011193731539665705,0.05496147313311448,0.09296018607444108,-0.0033574138149575147,0.06828613280156448,0.04195557562327745,-0.024278655684972755,1.0,0.08783424795416529
total_of_special_requests,-0.2938888342068426,-0.1324496901525881,0.174967582299379,0.06418550865845778,0.06876200609328752,0.15564174234586894,0.11271640441119635,0.01805407182125683,-0.0765070913749777,0.04602881170393623,0.06267399255405982,-0.09330050256701701,0.08783424795416529,1.0
