feature,importance
cat__deposit_type_Non Refund,0.01688040293092283
cat__agent_17,0.016366840982035558
cat__agent_134,0.015054112265265894
cat__agent_9,0.014894857080734228
cat__deposit_type_No Deposit,0.014062619344461619
cat__meal_FB,0.012069346373475367
cat__company_68,0.012038937403300212
cat__company_233,0.011399563772968399
cat__company_51,0.011272543867638905
num__previous_cancellation_rate,0.010931465828619832
cat__company_218,0.01045620324377269
cat__agent_191,0.010211153513505582
cat__company_38,0.009960178896156871
cat__country_NGA,0.00991242064966366
cat__agent_168,0.009404864797916471
cat__country_ARE,0.00908237828446
cat__country_PRT,0.008899048496490033
cat__agent_132,0.008858618365040906
cat__company_242,0.008623717738950758
cat__agent_8,0.008504463009727506
cat__country_AGO,0.008489957529710396
cat__agent_56,0.008341883379789682
cat__company_45,0.008221730535247463
cat__agent_152,0.008077066539226775
cat__agent_14,0.00800348662828845
cat__agent_13,0.007757540872064579
num__required_car_parking_spaces,0.00755563096370695
cat__country_SRB,0.00748409422366397
cat__country_HKG,0.007479768712761335
cat__agent_28,0.007369558620864896
cat__agent_30,0.007308365915376251
cat__country_IDN,0.0072628590655887445
cat__agent_2,0.007165231615837438
cat__agent_234,0.007078602783759772
cat__agent_220,0.006975143837012468
cat__agent_89,0.006832528191910523
cat__agent_22,0.006664232549357415
cat__agent_94,0.006610794499398512
cat__agent_118,0.006581237793883286
cat__agent_23,0.0064150749314361745
cat__country_AUT,0.006280623428980297
cat__agent_87,0.006261350692785672
cat__agent_155,0.006202821157570632
cat__distribution_channel_infrequent_sklearn,0.006066267085805672
cat__country_PAN,0.005858208705781747
cat__country_NZL,0.0058392144037501
cat__country_ZAF,0.005790354651150359
cat__agent_40,0.005677181667437409
cat__distribution_channel_Direct,0.00560893883149444
cat__agent_16,0.00559797488908822
cat__country_SAU,0.005587868172735897
cat__agent_63,0.00557664298647741
cat__country_SGP,0.005573699219799879
cat__agent_147,0.005563692963050077
cat__country_CYP,0.005428834384047323
cat__company_179,0.005389663819942527
cat__agent_192,0.005265449951483131
cat__agent_121,0.005152741403946419
cat__market_segment_Groups,0.005138467795567835
cat__country_DNK,0.005106304128820137
cat__country_NOR,0.005053034037875443
cat__country_DEU,0.005052372049103076
cat__agent_27,0.00502341022894682
cat__country_JPN,0.004988932879054265
cat__agent_159,0.004876843259690608
cat__country_CHN,0.004790161260202753
cat__agent_359,0.0046722967095066325
cat__agent_38,0.004616469764774288
cat__reserved_room_type_infrequent_sklearn,0.004606823518008673
cat__country_HRV,0.004595648121405415
cat__country_TJK,0.004541741297338323
cat__customer_type_Transient,0.0044905838886310145
cat__agent_173,0.00440148543179529
cat__country_SWE,0.004338366497252543
cat__company_72,0.004255668781641513
cat__agent_157,0.004218181587562722
cat__agent_36,0.004207052186301203
cat__country_GNB,0.004204228248372826
cat__agent_45,0.004106148543452634
cat__agent_58,0.004087561023844095
cat__agent_32,0.00402647345175331
cat__agent_364,0.003917848201543072
cat__country_MEX,0.0038729569144677436
cat__country_ISL,0.0038618437302239397
cat__country_VEN,0.003858503145714452
cat__country_BEL,0.0038531399266628027
cat__country_OMN,0.0037343201666934413
cat__meal_BB,0.003731782371062188
cat__country_BGR,0.003724822141820209
cat__company_396,0.003718301084643405
cat__company_216,0.0037026833092041697
cat__country_NLD,0.0036828873449138624
cat__agent_26,0.0036771510992599445
cat__country_FRA,0.003646684296252397
num__has_special_requests,0.003602324089034615
cat__country_CPV,0.003586660877001437
cat__country_LTU,0.003581059880673694
cat__agent_39,0.0035744235237847523
cat__agent_119,0.0035548177327275905
cat__agent_11,0.003543588941229031
cat__market_segment_infrequent_sklearn,0.0035395281776819335
cat__agent_21,0.003503952488313412
cat__agent_79,0.0034981785610943474
cat__company_333,0.0034892575543339827
cat__country_GEO,0.0034292598915635656
cat__market_segment_Complementary,0.0033038639161489585
cat__meal_HB,0.003289319219800725
cat__country_PAK,0.0032341038314165987
cat__country_ECU,0.003193007241977304
cat__country_IRQ,0.0031734343056190224
cat__country_FIN,0.0031665697466906452
cat__agent_19,0.0031615930094435534
cat__country_SVK,0.003087140186253602
cat__meal_SC,0.0030850584936641247
cat__agent_344,0.0030767863406926735
cat__country_POL,0.0030453390461789333
cat__country_KWT,0.002999435168760327
cat__agent_86,0.002961966098153335
cat__country_LUX,0.002951823554277457
cat__agent_330,0.0029337106409664374
cat__country_THA,0.0028980719725851998
cat__company_366,0.0028882431551488664
cat__agent_7,0.002874979861336881
cat__country_UKR,0.002872065142870213
cat__agent_103,0.002870132073585087
cat__agent_378,0.002866929688493556
cat__country_LBY,0.0028645549378942597
cat__country_QAT,0.002855747306423718
cat__agent_154,0.002805082187855747
num__arrival_date_year,0.00278798804004219
cat__agent_138,0.0027822957714554804
cat__agent_288,0.002776217381745845
cat__agent_35,0.002770658358694152
cat__agent_240,0.0027501946432257865
cat__agent_66,0.0027492230116771105
cat__market_segment_Corporate,0.002742321103700811
cat__company_238,0.002740679570148867
cat__agent_29,0.0027219789594964314
cat__agent_37,0.0027001592903238033
num__lead_time,0.0026957987178591264
cat__agent_20,0.0026833433752222707
cat__agent_77,0.002673094027233411
cat__agent_196,0.0026656523898914417
cat__country_DZA,0.0026170394636258966
cat__country_CHE,0.002613278201006873
cat__country_KOR,0.002606074462827255
cat__company_219,0.0025423873619252525
cat__company_209,0.002525092128459219
cat__country_COL,0.002502174293608811
cat__country_CZE,0.002496459909421294
cat__agent_12,0.002450603785313351
cat__agent_4,0.002373501144666378
cat__agent_111,0.00232275675079807
cat__company_174,0.0023036149376991217
cat__agent_3,0.002297900675099067
cat__country_TUN,0.002270329389480263
cat__country_infrequent_sklearn,0.0022684541402813794
cat__country_CRI,0.0022610042080765396
cat__agent_95,0.0022488376515829305
cat__agent_85,0.002228191789022793
cat__company_9,0.0021488974917689336
cat__agent_6,0.0021488262075493487
cat__company_215,0.002140227401469331
cat__agent_195,0.002136679281197742
cat__country_ALB,0.002134857730010046
cat__company_Missing,0.002131854522646791
cat__company_148,0.002108917218848699
cat__company_91,0.0020835771529325833
cat__country_MDV,0.002080382229885249
cat__agent_236,0.002074332657610985
cat__country_IRN,0.002062107320018796
cat__country_BGD,0.0020514494676772514
cat__country_RUS,0.0020347650179386727
cat__agent_24,0.0020299360662047058
cat__agent_98,0.002022398191318278
cat__company_405,0.002015819248770365
cat__company_263,0.0019408036057380334
cat__company_227,0.001929398634415075
num__has_booking_changes,0.0019223645197236322
cat__company_197,0.0019219834059650094
cat__country_BRA,0.0019198484560506359
cat__company_46,0.0019090884852249082
cat__agent_133,0.0019072416544151892
