feature,importance
cat__deposit_type_Non Refund,0.026212666334658886
cat__deposit_type_No Deposit,0.024056761717200267
cat__agent_9,0.023597395755319057
cat__agent_17,0.022872070436523714
cat__agent_134,0.02017771045241429
num__previous_cancellation_rate,0.018587331746350945
cat__country_PRT,0.016195630927365874
cat__agent_191,0.01427959517034639
cat__agent_28,0.013531778683028633
cat__country_AGO,0.012279304865199096
cat__agent_14,0.011873221619499719
cat__meal_FB,0.011754147463087705
cat__agent_56,0.011703730533111857
num__required_car_parking_spaces,0.01137607873046873
cat__agent_8,0.011282660860034818
cat__company_233,0.010887432316071572
cat__agent_22,0.010387185921241307
cat__agent_132,0.010139400987733268
cat__country_AUT,0.009950623233995152
cat__agent_30,0.009393847205164849
cat__agent_234,0.008887762709467529
cat__country_DEU,0.008702624056333385
cat__agent_27,0.008242868388592974
cat__country_CHN,0.008210011303137466
cat__company_38,0.008086147428203266
cat__agent_152,0.008048795754176387
cat__company_51,0.007940339216702601
cat__agent_89,0.007705732619889032
cat__agent_13,0.007518077494821421
cat__agent_16,0.007407011711020843
cat__company_45,0.0073595263958079705
cat__agent_168,0.007324510167311758
cat__company_218,0.007278588903268313
cat__country_ARE,0.007054061370196285
cat__company_68,0.007050393665623661
cat__country_NGA,0.006975796296857884
cat__agent_118,0.006932465940577224
cat__country_NOR,0.00688377386802103
cat__customer_type_Transient,0.00685890632360629
cat__country_DNK,0.006838243658078392
cat__agent_11,0.006795556882791514
cat__distribution_channel_Direct,0.006710250346686375
cat__country_SWE,0.006648788032941367
cat__country_JPN,0.0064431099671216725
num__has_special_requests,0.006423357364679871
cat__market_segment_Groups,0.00631379965320464
cat__country_BEL,0.0062840677846982
cat__company_242,0.006277832682330144
cat__agent_26,0.006147957955124812
cat__country_FRA,0.006137321061094277
cat__country_NLD,0.006009445509746609
cat__agent_220,0.005902822777022861
cat__country_SRB,0.005558355023286225
cat__agent_2,0.005371636375810471
cat__agent_94,0.005245387382972453
cat__agent_138,0.00504119620842795
cat__country_IDN,0.005027349095857809
cat__country_ZAF,0.004920153495741668
cat__country_HKG,0.004910435176171557
cat__agent_40,0.004879289638801723
num__lead_time,0.0047892906835086835
cat__agent_157,0.004772752624055855
num__arrival_date_year,0.0047183684751342875
cat__country_SGP,0.004621102721937622
cat__agent_85,0.004505491411002369
cat__country_HRV,0.004441856196278327
cat__agent_23,0.004416520885293017
cat__country_POL,0.004397362560754805
cat__agent_159,0.00438503168458527
cat__country_RUS,0.004320953785738994
cat__country_SAU,0.004275572658943546
cat__country_CHE,0.004223052148991188
cat__country_FIN,0.004205736843286582
cat__meal_BB,0.004161703254666937
cat__country_NZL,0.004085934198142485
cat__country_LUX,0.004046347508283098
cat__agent_63,0.0039621351147719535
cat__agent_21,0.0038403650220194987
cat__distribution_channel_Corporate,0.0037811361903181562
cat__agent_87,0.0037276525137785524
cat__country_CYP,0.0036521631749796535
cat__country_BRA,0.0036009678209975864
cat__country_KOR,0.0035912482339398952
cat__country_infrequent_sklearn,0.0035729383089264173
num__has_booking_changes,0.0034645393551549965
cat__country_CZE,0.003463006036966921
cat__agent_86,0.0033698268988141458
cat__agent_119,0.0033146256207633403
cat__company_179,0.003300194597035031
cat__distribution_channel_infrequent_sklearn,0.0032940078835777616
cat__agent_121,0.0032369598148222463
cat__agent_39,0.0032011022686436867
cat__market_segment_Corporate,0.0031590544859523982
cat__country_PAN,0.0031574959101146544
cat__meal_HB,0.0030984197207505003
cat__agent_36,0.0030820140764983035
cat__agent_359,0.003065779439870866
cat__agent_155,0.0030574994153864093
cat__country_BGR,0.0030173017443047446
cat__agent_58,0.0030103813711878603
cat__agent_173,0.0029962483445711797
cat__country_MEX,0.0029838487197079875
cat__agent_19,0.002976655584768405
cat__country_VEN,0.0028527052246659235
cat__agent_147,0.002817260622806238
cat__meal_SC,0.002809416757140593
cat__agent_192,0.0027517068225824085
cat__country_TJK,0.0027307342853992366
cat__agent_79,0.00270880338015464
cat__country_UKR,0.002666879103177199
num__total_of_special_requests,0.0026636716230953794
cat__market_segment_Complementary,0.002598695623147673
