feature,importance
cat__deposit_type_Non Refund,0.02054486499991442
cat__agent_17,0.019346722037484294
cat__agent_9,0.018229968206675783
cat__deposit_type_No Deposit,0.017916332835855323
cat__agent_134,0.01728287947835383
num__previous_cancellation_rate,0.013734501268673939
cat__meal_FB,0.012549032922968158
cat__agent_191,0.01238236151890656
cat__company_233,0.011800180103818374
cat__country_PRT,0.01135773693866712
cat__agent_28,0.010116593668942133
cat__company_51,0.01009895438394255
cat__country_AGO,0.01009854156311404
cat__agent_132,0.010057954305885098
cat__agent_56,0.009939212876180492
cat__agent_8,0.009912142025309012
cat__company_68,0.009806067283883276
cat__agent_14,0.009768314796709584
cat__company_38,0.009679249239263374
cat__company_218,0.00933291838667203
num__required_car_parking_spaces,0.009024257482373519
cat__country_NGA,0.008811078886778212
cat__agent_168,0.008715749061441699
cat__country_ARE,0.008452956165544817
cat__company_45,0.008384818183379201
cat__agent_152,0.008325754701114409
cat__agent_13,0.00827018970458407
cat__agent_30,0.00815851634549278
cat__agent_22,0.008144320286036948
cat__agent_234,0.008059808562545739
cat__company_242,0.007840057860538364
cat__country_AUT,0.007637578262199386
cat__agent_89,0.007554749470025189
cat__agent_118,0.007187076309929543
cat__agent_16,0.00688323386211095
cat__agent_2,0.006712248184223183
cat__agent_220,0.00668345567242353
cat__country_SRB,0.0066039268122310545
cat__agent_27,0.006437261880619095
cat__country_DEU,0.006423768748241782
cat__agent_94,0.006409814668705953
cat__country_HKG,0.00632734726240313
cat__country_IDN,0.0063246992643245506
cat__distribution_channel_Direct,0.006094881379174265
cat__country_CHN,0.0059298316212204084
cat__country_JPN,0.005862606708826613
cat__country_DNK,0.005785710947501354
cat__country_ZAF,0.005760539552430952
cat__country_NOR,0.005749634593927263
cat__market_segment_Groups,0.005670937811756693
cat__agent_23,0.005530243983233481
cat__agent_40,0.005502556579702005
cat__country_SGP,0.0054204063977241175
cat__country_SWE,0.005405261387198193
cat__customer_type_Transient,0.0053967990131778085
cat__agent_87,0.00525079175151336
cat__country_SAU,0.005188808508878985
cat__country_NZL,0.005173883943111083
cat__agent_26,0.004915020549809449
cat__country_BEL,0.004881900989846887
cat__agent_63,0.004869022013976238
cat__agent_159,0.004862114525579473
cat__country_HRV,0.004840821468549995
