feature,importance
cat__deposit_type_Non Refund,0.021052640349631706
cat__agent_17,0.019785060917316154
cat__agent_9,0.018749625792801695
cat__deposit_type_No Deposit,0.018540496382981806
cat__agent_134,0.01764106833117806
num__previous_cancellation_rate,0.014230085242577344
cat__agent_191,0.01245939233597114
cat__meal_FB,0.012325893305870061
cat__country_PRT,0.011795155038483227
cat__company_233,0.011556398736335564
cat__agent_28,0.010486634682929048
cat__country_AGO,0.010396228759798119
cat__agent_56,0.010097215264048578
cat__agent_8,0.010085697438979524
cat__agent_14,0.010035238301397619
cat__agent_132,0.009940601761855093
cat__company_51,0.009856805597865089
cat__company_68,0.009609350328342786
cat__company_38,0.009522152795372638
num__required_car_parking_spaces,0.009259229617773207
cat__company_218,0.009180541910389
cat__country_NGA,0.008639915759559271
cat__agent_168,0.008545455608740517
cat__agent_22,0.008384973382477979
cat__country_ARE,0.008293227594084249
cat__agent_30,0.008286935636752897
cat__company_45,0.008250453078157393
cat__agent_152,0.008200823808669978
cat__agent_13,0.008161024636478541
cat__agent_234,0.008062971055232522
cat__country_AUT,0.007885799350668837
cat__company_242,0.0076853747739102085
cat__agent_89,0.007479472558592084
cat__agent_118,0.007108405624604998
cat__agent_16,0.006846786415870221
cat__country_DEU,0.006646306475269319
cat__agent_27,0.006589316694853483
cat__agent_2,0.006561174183106188
cat__agent_220,0.006554084465928091
cat__country_SRB,0.0065027882159905456
cat__country_CHN,0.006292215387249083
cat__agent_94,0.006285355956763461
cat__country_HKG,0.006199588964862016
cat__country_IDN,0.006195900908329135
cat__distribution_channel_Direct,0.00616371734203782
cat__country_NOR,0.005897343717381892
cat__country_DNK,0.0058837518413817425
cat__country_JPN,0.005870909028239989
cat__market_segment_Groups,0.005778493249703837
cat__country_ZAF,0.005667398989589142
cat__customer_type_Transient,0.005548986336296234
cat__country_SWE,0.005533911742117947
cat__agent_23,0.0054250668826549
cat__agent_40,0.005420015123445535
cat__country_SGP,0.005333521564399536
cat__agent_87,0.005116091878996242
cat__country_SAU,0.005088817852747253
cat__country_NZL,0.0050752720093530605
cat__country_BEL,0.0050712770097182435
cat__agent_11,0.00505633416752565
cat__agent_26,0.004978808859795808
cat__country_NLD,0.0049385544333362145
cat__agent_159,0.004794054531387277
cat__agent_157,0.0047888147329508265
cat__agent_63,0.004773467111765867
cat__country_HRV,0.004765372072702264
num__has_special_requests,0.004760853488717876
cat__country_FRA,0.004715221403527599
cat__country_CYP,0.0045778607318856445
cat__distribution_channel_infrequent_sklearn,0.004566853400983305
cat__agent_155,0.004472214522746827
cat__country_PAN,0.004397179093194698
cat__company_179,0.004323920797662773
cat__agent_121,0.004147186476426101
cat__agent_147,0.004026462782557129
cat__meal_BB,0.004010492349594543
cat__country_POL,0.003919047856910844
cat__agent_192,0.0038632290525944016
cat__agent_359,0.0038549961548378225
cat__agent_138,0.0038361224616343635
cat__agent_173,0.0038037959221035146
cat__agent_58,0.003729097190749972
cat__country_FIN,0.0037166745838567764
cat__agent_119,0.0036816762493950416
cat__agent_36,0.003611642177129597
